user_id,user_bio,tokens,state,region,ls_tokens,new_tokens,cluster,genre
1.18e+18,"I'm a nerdy guy who loves art, music, wrestling and comics. I'm poly!",nerdy guy love art music wrestle comics poly,OH,Midwest,"['nerdy', 'guy', 'love', 'art', 'music', 'wrestle', 'comics', 'poly']",nerdy guy love art music wrestle comics poly,40,soul
1.44e+18,No worries Lil Ms Sunshine cause I don't mess with the woman in the moon either she's a civil right violation that I will be suing for defamation,worry lil sunshine cause mess woman moon civil right violation sue defamatio,PA,Northeast,"['worry', 'sunshine', 'cause', 'mess', 'woman', 'moon', 'civil', 'right', 'violation', 'sue', 'defamatio']",worry sunshine cause mess woman moon civil right violation sue defamatio,19,edm
121972044.0,I am a huge sports and music fan. I graduated from Regis University. I have lived in Denver and Atlanta for most times.,huge sport music fan graduate regis university live denver atlanta time,CO,West,"['sport', 'music', 'fan', 'graduate', 'regis', 'university', 'live', 'denver', 'atlanta', 'time']",sport music fan graduate regis university live denver atlanta time,45,acoustic
1.39e+18,"This is not, nor endorsed by, any Government Entity. This is a side project, and no guarantees or warranties are made about quality or timely-ness",endorse government entity project guarantee warranties quality timely ness,WA,West,"['endorse', 'government', 'entity', 'project', 'guarantee', 'warranties', 'quality', 'timely', 'ness']",endorse government entity project guarantee warranties quality timely ness,44,minimaltechno
23490526.0,I'm a writer and a cult film fanatic who loves politics. https://www.facebook.com/doug1963,writer cult film fanatic love politics,UT,West,"['writer', 'cult', 'film', 'fanatic', 'love', 'politics']",writer cult film fanatic love politics,0,punkrock
1.31e+18,"Animals have come to mean so much in our lives
😎Follow🇺🇲 our adventures🤩
❤️❤️❤️dog❤️❤️❤️
😎DM for collab😍❤️👍
#dog_lovers",animals come mean live follow adventure dog collab,NY,Northeast,"['animals', 'mean', 'live', 'follow', 'adventure', 'dog']",animals mean live follow adventure dog,24,jazz
271117791.0,Freelance writer/blogger - Free Thinker - Open-minded - Activist - Spiritual - Jack-of-all-Trades - Check out my photography and digital for sale.. link below,freelance writer blogger free thinker open mind activist spiritual jack trade check photography digital sale link,OH,Midwest,"['freelance', 'writer', 'blogger', 'free', 'thinker', 'mind', 'activist', 'spiritual', 'trade', 'check', 'photography', 'digital', 'sale']",freelance writer blogger free thinker mind activist spiritual trade check photography digital sale,1,chill
3233233477.0,bad as the boys.,bad boys,LA,South,"['bad', 'boys']",bad boys,27,newage
132615175.0,"SFV Chicana HERstorian, Ph.D Student @ University of California, Riverside, published author, non-profit board member, and WonderMom 💖 PSN: eternal_dayzz.",sfv chicana herstorian student university california riverside publish author non profit board member wondermom psn eternal dayzz,CA,West,"['sfv', 'chicana', 'herstorian', 'student', 'university', 'california', 'riverside', 'publish', 'author', 'profit', 'board', 'wondermom', 'psn', 'eternal', 'dayzz']",sfv chicana herstorian student university california riverside publish author profit board wondermom psn eternal dayzz,40,soul
1.04e+18,Music Publisher/Mixer/Producer 🏆 Toro y Moi/KFlay/Dude York/Blimes&Gab/Beat Connection/Ricky Lake/GRMLN/Tia Nomore/Text Me Records @fwbtweets $FWB,music publisher mixer producer toro moi kflay dude york blimes gab beat connection ricky lake grmln tia nomore text record fwb,CA,West,"['music', 'publisher', 'mixer', 'producer', 'toro', 'moi', 'kflay', 'dude', 'york', 'blimes', 'gab', 'beat', 'connection', 'ricky', 'grmln', 'tia', 'nomore', 'text', 'record', 'fwb']",music publisher mixer producer toro moi kflay dude york blimes gab beat connection ricky grmln tia nomore text record fwb,43,groove
1.14e+18,"2022 Hale County High School (AL) OLB, DE,ILB 3.5 gpa Cell:205-826-8694 (NOT COMMITTED)Email-Malachipasteur7@gmail.com NCAA ID-2111383688|",hale county high school olb ilb gpa cell commit email malachipasteur com ncaa,AL,South,"['hale', 'county', 'high', 'school', 'olb', 'ilb', 'gpa', 'cell', 'commit', 'malachipasteur', 'ncaa']",hale county high school olb ilb gpa cell commit malachipasteur ncaa,45,acoustic
2704903370.0,21💎AZ 💰 ✧🩺✧ #Godfirst Onlygodcanjudgeme 🐲 #FUCKCANCER let’s come together to fight against it. Check my pinned tweet.,let come fight check pin tweet,AZ,Southwest,"['let', 'fight', 'check', 'tweet']",let fight check tweet,32,acoustic
1.41e+18,🇻🇮The owner of @entboyent 🔥 🏢 #ikeherbs 🌿old Twitter disabled #2️⃣3️⃣,owner old twitter disable,TX,Southwest,"['owner', 'old', 'twitter', 'disable']",owner old twitter disable,47,heavymetal
