Track ID,Track Name,Artist Name,Album,Release Date,Popularity,Genre
5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,Conditions,2009-03-24,66,alt-rock
0xMEF2WiqKWTIG7Krjungw,The Distance,CAKE,Fashion Nugget,1996-09-17,67,alt-rock
03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,TV On The Radio,Return To Cookie Mountain,2006-01-01,66,alt-rock
1GU6oaDhWaypMzfP51BYKo,Fvck Somebody,The Wrecks,Infinitely Ordinary,2020-05-01,66,alt-rock
6u1yKoh00WaoSpNp46RzKF,Cumbersome,Seven Mary Three,American Standard,1995-09-05,66,alt-rock
0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Creed,Human Clay,1999-01-01,67,alt-rock
3Uvx1TO0Kg5HgGPk58lHXv,How's It Going to Be,Third Eye Blind,Third Eye Blind,1997-04-08,67,alt-rock
6dJODklApmve5IzgKWUqV2,Machinehead,Bush,Sixteen Stone (Remastered),2014-10-14,65,alt-rock
1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),Fuel,Something Like Human,2000-09-19,66,alt-rock
41d2Q6DHcM20OdzynkRtvf,Daft Pretty Boys,Bad Suns,Disappear Here,2016-09-16,66,alt-rock
6CES1554HcWMIVroJfmmBm,Way It Goes,Hippo Campus,Landmark,2017-02-24,66,alt-rock
1ng36571Iyov4HBxUClySn,Pepper,Butthole Surfers,Electriclarryland,1996-01-01,67,alt-rock
28C4nmrd7BTu0XbOmaTHZr,Greek Tragedy,The Wombats,Glitterbug (Deluxe Edition),2015-04-14,64,alt-rock
27IRo2rYeizhRMDaNVplNM,Hook,Blues Traveler,Four,1994-01-01,67,alt-rock
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Third Eye Blind,Blue,1999-11-23,67,alt-rock
51UtgWS4z1eMPuLQOzPtNH,Amber,311,Greatest Hits '93 - '03,2004-06-08,66,alt-rock
3cbTV3IZZvSBYVcl0xuZbY,Bound For The Floor,Local H,As Good As Dead,1996-01-01,66,alt-rock
1euszbbvkUzQzIhZUWFmXG,My Name Is Human,Highly Suspect,The Boy Who Died Wolf,2016-11-18,67,alt-rock
1BwhFXqoIsePt21WyWIttb,I Wanna Get Better,Bleachers,Strange Desire,2014-07-14,67,alt-rock
0Xmz2shisTG8peoqnFj5tu,Sarah,Alex G,Trick,2012-11-05,66,alt-rock
3IXRdLsQib8m0hBbQpe7T8,Hang Me Up To Dry,Cold War Kids,Robbers & Cowards,2007-05-11,65,alt-rock
6w7ily4cFWEPO0XWFQYeUO,Bulletproof,Godsmack,When Legends Rise,2018-04-27,66,alt-rock
6YIggUJW3ttAAPRdnki8RM,Disarm - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1993,65,alt-rock
1nFtiJxYdhtFfFtfXBv06s,Something In The Way,Nirvana,Nevermind (Remastered),1991-09-26,66,alt-rock
5omWAB5iNMHvbAfBSzkdu8,You're Going Down,Sick Puppies,Tri-polar,2010-01-01,65,alt-rock
56SkdBKyR2zOkjk6wVFI9s,Possum Kingdom,Toadies,Rubberneck,1994-01-01,67,alternative
0qy5D3OJre7SPJNMOL9I71,Broccoli,Shelley FKA DRAM,Broccoli,2016-04-06,67,alternative
7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,2001-07-30,67,alternative
3HfEgAaf0koxBpBB8NvGda,When You Sleep,my bloody valentine,Loveless,1991-11-04,67,alternative
7qCZgvV98j6RjUULW1s1it,Inside Out,Spoon,They Want My Soul,2014-08-05,66,alternative
7wpYSigAhQeZp3cdsMQ3Af,Glycerine,Bush,Sixteen Stone (Remastered),2014-10-14,67,alternative
1fOkmYW3ZFkkjIdOZSf596,Pink Matter,Frank Ocean,channel ORANGE,2012-07-10,66,alternative
74KI6d8jEM2zwOAo3luayU,Shimmer,Fuel,Sunburn,1997,65,alternative
3e2KBwxibC1rq4bA5TNKW2,Psycho,Puddle Of Mudd,Famous,2007-01-01,67,alternative
3ow0TQVttXQF8rLckmXgRx,Cherub Rock - Remastered 2011,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1993,66,alternative
19LT4ZUEeoUdimKE04WJJg,Cowboy,Kid Rock,Devil Without a Cause,1998-08-05,67,alternative
6NvRxjfYkkT2SpirAlmsjH,No One Knows,Queens of the Stone Age,Songs For The Deaf,2002,67,alternative
6u1yKoh00WaoSpNp46RzKF,Cumbersome,Seven Mary Three,American Standard,1995-09-05,66,alternative
3cbTV3IZZvSBYVcl0xuZbY,Bound For The Floor,Local H,As Good As Dead,1996-01-01,66,alternative
5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,Conditions,2009-03-24,66,alternative
2XwcKJW9Q0gaDIZzg0dKQt,Advice,Alex G,Trick,2012-11-05,67,alternative
03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,TV On The Radio,Return To Cookie Mountain,2006-01-01,66,alternative
6w7ily4cFWEPO0XWFQYeUO,Bulletproof,Godsmack,When Legends Rise,2018-04-27,66,alternative
0hTiTU0yqthnByyZDD3bcc,A Warrior's Call,Volbeat,Beyond Hell / Above Heaven,2010,66,alternative
6dJODklApmve5IzgKWUqV2,Machinehead,Bush,Sixteen Stone (Remastered),2014-10-14,65,alternative
1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),Fuel,Something Like Human,2000-09-19,66,alternative
0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Creed,Human Clay,1999-01-01,67,alternative
0xMEF2WiqKWTIG7Krjungw,The Distance,CAKE,Fashion Nugget,1996-09-17,67,alternative
3FP8A246XpuafFofRhDlWG,I'm So Sick,Flyleaf,Flyleaf,2006-01-01,65,alternative
1fnULsZuORnAgCFFbM8nTZ,State of My Head,Shinedown,Threat to Survival,2015-09-18,67,alternative
2NGhKPZdZk2pPZinWphTzh,November,Max Richter,Voyager - Essential Max Richter,2019-10-04,59,ambient
7cp3lHAPGcUbb7tJP0kuxl,Infra 5 - Orchestra Version,Max Richter,Exiles,2021-08-06,56,ambient
321kAwKSTFjsQznjLpbfD9,"An Ending, a Beginning",Dustin O'Halloran,Other Lights,2019-06-28,59,ambient
6zYHwIlDPraiG9UTg4y0oe,Eyes Closed And Traveling,Peter Broderick,Eyes Closed And Traveling,2016-07-11,57,ambient
5hJrBqOLUnMXNjDlAX67aP,Flow State Vestida 4,Danny Mulhern,Flow State Vestida 4,2020-10-16,55,ambient
7nnbb77c4fLnosiTk5QpxQ,The Apology Song,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack),2014-09-29,53,ambient
4eLKR4wt81H4aso4KyAkO1,Lion and the Lamb,Bethel Music,Have It All (Live),2016-03-11,55,ambient
36Zs84njjWZD3TGYE77WPC,K.,Cigarettes After Sex,K.,2016-12-01,50,ambient
2tr4oclswJ6v3dfDlI01HD,Them,Nils Frahm,Music for the Motion Picture Victoria,2015-06-15,59,ambient
1lSnBlAErRss6asu9Y5HuA,Eight,Sleeping At Last,Atlas: Enneagram,2019-07-11,53,ambient
1ulB5740qjdSila4Vjnb7Z,Birdcage,Novo Amor,"Cannot Be, Whatsoever",2020-11-06,57,ambient
1qGI8KYIXtJK9WTMC6nIQM,Island II,Olivia Belli,Island II,2021-09-24,54,ambient
0oN921mKYPOVYhKceZofrs,Ghost Waltz,Abel Korzeniowski,Penny Dreadful: Seasons 2 & 3 (Music From The Showtime Original Series),2016-12-16,55,ambient
1wkwJswKpMJNVxPAOIw6mc,Falling Asleep with a Book on Your Chest (Piano Version),Lullatone,Music for Museum Gift Shops,2019-03-21,53,ambient
0mhKPUIHNEz4tuWNxNEqCS,I Belong To Jesus - Live,Bethel Music,Homecoming (Live),2021-09-24,53,ambient
1b85pN99A6Mn3UU81SYUg0,Atoms,Ludovico Einaudi,Atoms,2021-12-03,62,ambient
7AkPusgKsrTqbOcTTbRnFr,Halloween,Novo Amor,"Cannot Be, Whatsoever",2020-11-06,54,ambient
3TgSPndcuzyZfqXnZno3Wt,"Georgiana - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli,Pride and Prejudice - OST,2005-09-19,56,ambient
3yuCAw61jqfyv2KzMoVdXA,Fly,Ludovico Einaudi,Divenire (Deluxe Edition),2006-01-01,64,ambient
7lq08zctLOESidAM58kjq6,Almost Idyllic,Sleeping At Last,Many Beautiful Things (Original Motion Picture Soundtrack),2015-06-23,54,ambient
3Cs4g3w33H9YEptmg34DQc,I Follow Rivers,Marika Hackman,Deaf Heat EP,2014-04-14,59,ambient
3bCmDqflFBHijgJfvtqev5,1/1 - Remastered 2004,Brian Eno,Ambient 1: Music For Airports (Remastered 2004),1978,53,ambient
0UAazxzt45u787JmxJGoUA,Candles,Jon Hopkins,Monsters (Original Motion Picture Soundtrack),2010-11-10,48,ambient
5os4iDInR4chqaCdXi895k,Six,Sleeping At Last,Atlas: Enneagram,2019-07-11,53,ambient
3YmZ8V92nqVKx6u1lohFCC,Call Me,Gigi Masin,Wind,1986,54,ambient
1wqfYcITygmG1bnmuIFnsZ,Sadness and Sorrow Piano,Kato,Naruto & Sleep,2021-12-07,40,anime
04jdxCevAQIP6vsCptCrrK,The Raising Fighting Spirit Piano,Kato,Naruto & Sleep,2021-12-07,36,anime
5bM0Purm60aemFT7tYTAv9,Blue Bird (Naruto),Kato,Naruto & Sleep,2021-12-07,38,anime
2A8g4brfM2DG9tS2BbcrHM,Coin locker Baby,Maretu,Coin locker Baby,2016-03-02,56,anime
5wqFGXrd6gHaDcVMY5DDbd,Duel of the Fates - Epic Version,Samuel Kim,Star Wars: The Dark Side Collection,2019-12-29,57,anime
3AbPnenT96a3aF4KNYRfBC,Konoha Peace Piano,Kato,Naruto & Sleep,2021-12-07,36,anime
3JydElYXjoBJltBcttwnlR,Alone (Naruto),Kato,Naruto & Sleep,2021-12-07,36,anime
3lI0MAMwOYgS101HNrvTu0,Sakura's Theme,Kato,Naruto & Sleep,2021-12-07,34,anime
5Xs2wcsqZwZ6bfLSpAs08G,紅蓮華 -TV ver.-,LiSA,紅蓮華,2019-07-03,59,anime
2iPIn88pm2FrEqIxi6dDvA,Loneliness (From Naruto),Kato,Naruto & Sleep,2021-12-07,28,anime
13sxKGMd5RDQYavHyZ8Flw,Catch the Moment,LiSA,Little Devil Parade,2017,59,anime
1Dwfszy0pjd663dffKTFLh,Girei Piano (Pain's Theme),Kato,Naruto & Sleep,2021-12-07,27,anime
39lM6MKn0tD7ZasJtLsaZq,Naruto Wind - Ending Theme Piano,Kato,Naruto & Sleep,2021-12-07,27,anime
28QpCzFbTf09Jsj2zuz58t,Avid,SawanoHiroyuki[nZk]:mizuki,Avid,2021-04-25,62,anime
6W4gN6gKT1FVAptTGJ6JJf,Blue Bird Piano,Kato,Naruto & Sleep,2021-12-07,29,anime
2Hwac118Kwe9DzjyZDxlyy,Hokage's Funeral (From Naruto),Kato,Naruto & Sleep,2021-12-07,28,anime
6Zp9pormGrMRqgFZ9XowHz,Konoha Peace (From Naruto),Kato,Naruto & Sleep,2021-12-07,28,anime
5BpaEYjWflsH4rZrpaL75L,Sadness and Sorrow (From Naruto),Kato,Naruto & Sleep,2021-12-07,31,anime
2i41GgmdOzV88a3pmE6Yze,Man of the World (Piano),Kato,Naruto & Sleep,2021-12-07,27,anime
4uh3rNFPV4c4NGivFATrrS,Samidare Piano,Kato,Naruto & Sleep,2021-12-07,28,anime
5YHf1xeZTq9SZXgNxEt5BS,Rainy Day Piano,Kato,Naruto & Sleep,2021-12-07,28,anime
43OtdiC7SZXk5MTDkvQwJv,I Have Seen Much,Kato,Naruto & Sleep,2021-12-07,28,anime
7g0Wlqyi6sTkLGmYHRqlGE,Silent Song Piano,Kato,Naruto & Sleep,2021-12-07,26,anime
1k2E3gqI8CmfTEfN88QTbu,Naruto Wind - Ending Theme,Kato,Naruto & Sleep,2021-12-07,27,anime
5BbAbnlNW3JfGGwG0Hkei9,Silhouette (Naruto Shippuden),Otaku,Anime Lofi Vol. 1,2021-03-12,59,anime
4CT3KbK4VK0reaopK609eX,Wet Leather,Woods Of Ypres,Woods 4: The Green Album,2009,44,black-metal
7lHviCsOmOCWXOZHfP5QPT,And again into the light,Panopticon,...And Again Into the Light,2021-05-15,37,black-metal
27USMkB01SpMYel1k2Vlcw,Relics of the Natural Realm,Sojourner,Perennial,2021-06-04,31,black-metal
2t653mDXAUb9Tc8L8uJ8EH,Hollow Heart,Angelmaker,Angelmaker,2019-05-31,37,black-metal
0aX0erB1ApGCvLtDoX2p6h,The Great Grey Flame,Angelmaker,Twilight,2021-10-13,37,black-metal
6OrCWxhSMjM8qHzylaSjid,In the Name of God,Rotting Christ,The Heretics,2019-02-15,43,black-metal
22bdAuXI4vn6lvdWtz2KH4,Diary of a Battered Child,Dystopia,The Aftermath,1999-04-19,35,black-metal
6keNptbuGCbHGqMXFmIEsI,No Light Shall Save Us,Carnifex,World War X,2019-08-02,39,black-metal
0buZkaEEaRLoEfVctp64sb,Messe Noire,Behemoth,The Satanist,2014-02-04,33,black-metal
1wrHLYfg0s42WTm89fmYn0,The Devil's Son,Belphegor,Totenritual,2017-09-15,41,black-metal
7t5riom6kdqXkb1VzTlAaH,Maze of Torment,Morbid Angel,Altars of Madness,1989,40,black-metal
50G2YeZFVgA7WzkdIQXNm8,Spell of Destruction,Burzum,Burzum/Aske,1993-03-01,41,black-metal
4utObDg0xcvLNs3Xf4TwTb,Dead World,Hypocrisy,Worship,2021-11-26,46,black-metal
0KfYqhpoAI2SWtxSMW68my,Illusion of Love,Dystopia,Dystopia,2008-04-19,35,black-metal
29fzGpbRh45T7h20IjISdg,Mjød,Kvelertak,Kvelertak,2011-10-03,48,black-metal
1Oe2Um6K7AsiDjKOBKKbZP,Vertigo,Deafheaven,Sunbather,2013-05-28,37,black-metal
5cgbNkNZrlMNAVSsn458ZW,Panzer Division Marduk,Marduk,Panzer Division,1999-04-24,43,black-metal
1aTuw2NBiqQg5d8Z9YBjuk,Dark Heart Ceremony,Carnifex,Slow Death,2016-08-05,37,black-metal
4axl5sQMQiqhUuu2yJ316W,Ben Sahar,Behemoth,The Satanist,2014-02-04,34,black-metal
3X5u1hrPeBiZ0FjZe4B70v,Christraping Black Metal,Marduk,Panzer Division,1999-04-24,43,black-metal
0t4BqNdnmncQyZoot8pu6S,A Celebration For The Death Of Man,Agalloch,The Mantle,2002,40,black-metal
038PaU9vPDq2itJcSQrawe,Sur l'océan couleur de fer,Alcest,Écailles de lune,2010-03-26,45,black-metal
1BxZADEWX9hMRjpOy46u8X,Sanctity,Dystopia,Human = Garbage,2014-10-14,35,black-metal
3f4VN0IHlMyMRVtnbiVqm3,Sugar,Fleshgod Apocalypse,Veleno,2019-05-24,41,black-metal
2mUyp5jaI7JaJikhWE0Oif,The Dying of the Embers,Cradle Of Filth,Existence Is Futile,2021-10-22,42,black-metal
5F7hS0aD4AO8PoUMjz6cKq,Leaders,Billy Strings,Renewal,2021-09-24,44,bluegrass
4Zpc4c1BrvJMu9LTyP9t9Z,Love Like Me,Billy Strings,Home,2019-09-27,44,bluegrass
5uRyMY1BpYJsoBHnPXdUWI,Happy Hour Hero,moe.,tin cans & car tires,1998-09-08,44,bluegrass
2V3w0JAQYU39IgTlHGMAXZ,Christmas Eve,Nickel Creek,A Dotted Line,2014-03-28,46,bluegrass
2upY8DvtcyT6PouN2AWHJs,Freeborn Man,Tony Rice,Guitar,2005-04-19,43,bluegrass
0zwkLwuSIuqQ9a45lTFlSC,The Parting Glass,The Wailin' Jennys,40 Days,2004-01-02,46,bluegrass
1QdVTJ1GEMnL1xhx5APGdy,"Guitars, Whiskey, Guns And Knives",The Steeldrivers,Reckless,2010-01-01,43,bluegrass
0XcB1mqwPSIvmpAqXWcEFS,Cattle in the Cane,Punch Brothers,Cattle in the Cane,2021-12-02,44,bluegrass
3OOyMn9wG699wYyzBmpavO,It's A Great Day To Be Alive,Darrell Scott,Aloha From Nashville,1997,43,bluegrass
6JyFlaeCjYFqHbdamEiwTx,1952 Vincent Black Lightning,The Del McCoury Band,Del & The Boys,2007-10-30,43,bluegrass
0B6BeEUd6UwFlbsHMQKjob,Back in the Goodle Days,John Hartford,Aereo-Plain,1971,44,bluegrass
2AHa3IJtKoe0pvO5ZX1WU8,While I'm Waiting Here,Billy Strings,Turmoil & Tinfoil,2017-09-22,44,bluegrass
760KGGc6GTn2w180XKNrgq,You Put The Hurt On Me,The Steeldrivers,Reckless,2010-01-01,43,bluegrass
79gYsiFPJ8x6ofr656fVIP,Heartbroke,Ricky Skaggs,Super Hits,1981,44,bluegrass
2KcRgaIPQII64xPLyS4cPG,Highway Hypnosis,Billy Strings,Home,2019-09-27,43,bluegrass
724mTUDtMwxfB2G023Kerf,Loretta,Aoife O'Donovan,Loretta,2020-04-17,48,bluegrass
7kBgZQP85cQBKKDTmjcDf3,Wayside/Back in Time,Gillian Welch,Soul Journey,2003-06-03,47,bluegrass
1ckFSTIyJECBMf9PX0Ezhc,Play By Your Own Rules,Sam Bush,Storyman,2016-06-24,43,bluegrass
1wx7jAIrUgzQLeqBtbgEvZ,Something Beautiful,Hot Buttered Rum,Something Beautiful,2020-04-03,43,bluegrass
7jb1ZSirsHV1H2cLTNbqDX,Crossing Muddy Waters,I'm With Her,Crossing Muddy Waters / Be My Husband,2015-05-19,45,bluegrass
2BjoGPFPgnSTRwWjFWXGxI,Help on the Way,Béla Fleck,Day of the Dead,2016-05-20,42,bluegrass
1QvCbkLDuF7yX7gIUDJUmp,Let Them Be Little,Billy Dean,Let Them Be Little,2005-03-29,47,bluegrass
22Ff1mPDh7MP3BQsZQT1Vj,Big Country,Béla Fleck and the Flecktones,Left Of Cool,1998-05-29,45,bluegrass
1nRVfS3M7vkRRjWp9rzIka,The Devil Comes Back to Georgia,Mark O'Connor,Heroes,1993-09-10,44,bluegrass
0trVnybi3L9TLXvMgSYoYG,Settled Down,Mandolin Orange,Such Jubilee,2015-05-05,47,bluegrass
0Jl5bIEve3A4axcjY3EgDZ,Feelin' Alright,Joe Cocker,With A Little Help From My Friends,1969-05-01,65,blues
4VwPsMcRt1HPVKIdcwY9Uj,Outshined - Remastered,Soundgarden,Badmotorfinger (25th Anniversary Remaster),1991-10-08,65,blues
0UOxp1BpnD8uPQMKU4wKjz,I Shot The Sheriff,Eric Clapton,461 Ocean Blvd. (Deluxe Edition),1974-07-01,67,blues
0IhUdJRoolbYeEMPL59XPm,Is This Love - 2018 Remaster,Whitesnake,Whitesnake (2018 Remaster),1987-04-07,60,blues
2PuUFT13yCzUOZun94WOXv,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash","Crosby, Stills & Nash",1969-05-29,65,blues
2JRkfugsvOPvTLmd0dVppc,It Was A Sin,The Revivalists,Men Amongst Mountains,2015-07-15,62,blues
3MJov5mT64K42o1Rffhblq,Never in My Wildest Dreams,Dan Auerbach,Waiting on a Song,2017-06-02,67,blues
2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,John Lee Hooker,Burnin',1962-01-01,63,blues
61BywQA7q8KjpGjp3rHuRv,Flirtin' with Disaster,Molly Hatchet,Flirtin' With Disaster,1979,62,blues
54DIzLw4LLxB3n1XiiQftU,Age Of Man,Greta Van Fleet,Anthem Of The Peaceful Army,2018-10-19,62,blues
4gi81cgaU0Xmek1IuOENM5,Rita Is Gone,The Marcus King Band,The Marcus King Band,2016-10-07,62,blues
5lJUXSjRjevVy7I3P87wuK,Your Touch,The Black Keys,Magic Potion,2006-09-12,62,blues
2565zrwkcli0D88IVw2rCg,Survivor,Nathaniel Rateliff & The Night Sweats,The Future,2021-11-05,62,blues
5XNpdKmlLJPUbwKQceX2tW,Little Wing,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),1984,63,blues
3jpeI1goQHPIwwCMxrLrwx,Smooth Sailin',Leon Bridges,Coming Home (Deluxe),2015-06-23,63,blues
1ksayCHVLH4eKFm43GFokU,"Baby, I Love Your Way - Live",Peter Frampton,Frampton Comes Alive! (Deluxe Edition),1976,67,blues
12YYFvwwuYiw010ONgfYlW,A Change Is Gonna Come,Greta Van Fleet,From The Fires,2017-11-10,62,blues
19P4fwkPhE6yVAXApFWDoF,A Life of Illusion,Joe Walsh,There Goes the Neighborhood,1981,64,blues
4uWOOyWwhkYAchf4WFuiTT,Shake Hands with Santa Claus - Mono Recording,Louis Prima,Breaking It Up!,1951,64,blues
2tVQhBSJ1SQtb4gX0taaiR,Jessica,Allman Brothers Band,Dreams,1989-06-20,63,blues
30SNjazZhzunhAWCjhdyyD,Christmas All Over Again,Tom Petty and the Heartbreakers,A Very Special Christmas 2,1992-10-20,67,blues
6JssQFiBCi6ZcE6060S9A7,Angel from Montgomery - 2008 Remaster,Bonnie Raitt,Streetlights,1974,65,blues
3LQPTJEqOfljGBxmpgUnoC,American Woman,The Guess Who,American Woman,1970-01-01,66,blues
45DElIx0dXqUH4A88yQFdE,Go With The Flow,Queens of the Stone Age,Songs For The Deaf,2002,61,blues
1q5wF1wZQD41ura41yVqXb,A Little Honey,Nathaniel Rateliff & The Night Sweats,Tearing At The Seams,2018-03-09,61,blues
